,URL,Status,price,type,subtype,country,region,province,district,locality,postalCode,street,number,box,floor,bedroomCount,netHabitableSurface,constructionYear,facadeCount,floorCount,hasLift,kitchen,hasGarden,gardenSurface,hasTerrace,terraceSurface,land,fireplaceExists,hasSwimmingPool,hasAirConditioning,bathroomCount,showerRoomCount,toiletCount,parkingCountIndoor,parkingCountOutdoor,parkingCountClosedBox,primaryEnergyConsumptionPerSqm,epcScore,hasDoubleGlazing,saleType
10664627,https://www.immoweb.be/en/classified/10664627,200,425000.0,HOUSE,HOUSE,Belgium,Wallonie,Walloon Brabant,Nivelles,Genappe,1470,rue henri semal,17-19,,,4.0,240.0,,4.0,,False,,,,,,906.0,False,False,,2.0,0.0,,,,,,F,True,
10664625,https://www.immoweb.be/en/classified/10664625,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10664621,https://www.immoweb.be/en/classified/10664621,200,1150000.0,HOUSE,HOUSE,Belgium,Brussels,Brussels,Brussels,Woluwe-Saint-Pierre,1150,,,,,6.0,279.0,1931.0,2.0,,False,INSTALLED,True,40.0,True,15.0,170.0,False,False,,4.0,0.0,4.0,1.0,1.0,,321.0,F,False,
10664606,https://www.immoweb.be/en/classified/10664606,200,265000.0,APARTMENT,GROUND_FLOOR,Belgium,Flanders,East Flanders,Gent,Gent,9000,Stropstraat,149, 001,0.0,1.0,37.0,2013.0,3.0,4.0,True,HYPER_EQUIPPED,,,,,,True,,,1.0,0.0,1.0,,,,115.0,B,True,
10664605,https://www.immoweb.be/en/classified/10664605,200,265000.0,APARTMENT,FLAT_STUDIO,Belgium,Flanders,East Flanders,Gent,Gent,9000,Stropstraat,149, 001,0.0,1.0,37.0,2013.0,3.0,4.0,True,HYPER_EQUIPPED,,,,,,True,,,1.0,0.0,1.0,,,,115.0,B,True,
10664604,https://www.immoweb.be/en/classified/10664604,200,440000.0,APARTMENT,APARTMENT,Belgium,Wallonie,Walloon Brabant,Nivelles,Rixensart,1332,,,,1.0,2.0,75.0,1986.0,4.0,,,,,,,,,True,,,1.0,0.0,1.0,,1.0,,,F,True,
10664603,https://www.immoweb.be/en/classified/10664603,200,265000.0,APARTMENT,APARTMENT,Belgium,Flanders,East Flanders,Gent,Gent,9000,Stropstraat,149, 001,0.0,1.0,37.0,2013.0,3.0,4.0,True,HYPER_EQUIPPED,,,,,,True,,,1.0,0.0,1.0,,,,115.0,B,True,
10664602,https://www.immoweb.be/en/classified/10664602,200,235000.0,HOUSE,HOUSE,Belgium,Flanders,East Flanders,Gent,Gent,9000,Lange Boomgaardstraat,86,,,1.0,54.0,,2.0,,False,INSTALLED,True,260.0,,,902.0,True,,,1.0,0.0,1.0,,,,579.0,F,True,
10664601,https://www.immoweb.be/en/classified/10664601,200,324000.0,APARTMENT,APARTMENT,Belgium,Flanders,East Flanders,Eeklo,Zelzate,9060,Grote Markt,72,0502,0.0,3.0,178.0,1976.0,2.0,6.0,True,SEMI_EQUIPPED,,,True,,,True,,,1.0,1.0,2.0,1.0,,,222.0,C,True,
10664597,https://www.immoweb.be/en/classified/10664597,200,345000.0,HOUSE,HOUSE,Belgium,Flanders,Flemish Brabant,Leuven,Boortmeerbeek,3191,Lisdoddeweg,11,,,0.0,1191.0,,4.0,,False,,,,,,1191.0,False,False,,,0.0,,,,,,,False,
10664595,https://www.immoweb.be/en/classified/10664595,200,499500.0,APARTMENT,APARTMENT,Belgium,Flanders,East Flanders,Gent,Gent,9000,BEGIJNHOFLAAN,382,,0.0,2.0,,1976.0,2.0,,,,,,,,,False,,,,1.0,1.0,1.0,,,240.0,C,True,
10664593,https://www.immoweb.be/en/classified/10664593,200,149000.0,APARTMENT,APARTMENT,Belgium,Brussels,Brussels,Brussels,Anderlecht,1070,Avenue Docteur Lemoine,5,,1.0,1.0,45.0,,4.0,12.0,,SEMI_EQUIPPED,,,True,10.0,,True,,,,0.0,1.0,1.0,,,274.0,E,,
10664592,https://www.immoweb.be/en/classified/10664592,200,319000.0,HOUSE,HOUSE,Belgium,Flanders,Flemish Brabant,Halle-Vilvoorde,SINT-KATHERINA-LOMBEEK,1742,Bosstraat,175,,,3.0,106.0,1930.0,3.0,,,INSTALLED,True,138.0,True,63.0,420.0,True,,,1.0,0.0,2.0,,,,397.0,D,True,
10664591,https://www.immoweb.be/en/classified/10664591,200,250000.0,HOUSE,EXCEPTIONAL_PROPERTY,Belgium,Wallonie,Hainaut,Thuin,Sivry-rance,6470,,,,,6.0,500.0,,4.0,,False,,True,10409.0,True,,10490.0,False,False,,,0.0,,,10.0,,440.0,F,,
10664590,https://www.immoweb.be/en/classified/10664590,200,690000.0,HOUSE,APARTMENT_BLOCK,Belgium,Brussels,Brussels,Brussels,BRUXELLES,1000,Place des Gueux,1,,,6.0,375.0,1912.0,,,False,,,,,,90.0,False,False,False,,0.0,,,,,288.0,F,False,
10664589,https://www.immoweb.be/en/classified/10664589,200,140000.0,HOUSE,APARTMENT_BLOCK,Belgium,Wallonie,Hainaut,Mons,Ciply,7024,,,,,2.0,120.0,,2.0,,,SEMI_EQUIPPED,,,,,621.0,False,,,2.0,0.0,2.0,,,,532.0,G,,
10664587,https://www.immoweb.be/en/classified/10664587,200,235000.0,HOUSE,HOUSE,Belgium,Wallonie,Liège,Liège,Seraing,4102,Rue Du Roi Albert,113,,,5.0,260.0,,2.0,,False,INSTALLED,True,250.0,True,20.0,535.0,True,False,False,1.0,0.0,3.0,,,,469.0,F,True,
10664582,https://www.immoweb.be/en/classified/10664582,200,548000.0,HOUSE,HOUSE,Belgium,Flanders,Flemish Brabant,Leuven,Langdorp,3201,Volkensvoortstraat,13,,,4.0,260.0,1938.0,4.0,,,INSTALLED,True,,,,5570.0,True,,,2.0,0.0,3.0,,,,213.0,C,True,
10664581,https://www.immoweb.be/en/classified/10664581,200,395000.0,HOUSE,HOUSE,Belgium,Flanders,East Flanders,Gent,Deinze,9800,Goedstraat,9,B,,3.0,134.0,2020.0,3.0,,,INSTALLED,,,True,,410.0,False,,,1.0,1.0,2.0,1.0,1.0,,83.0,A,True,
10664580,https://www.immoweb.be/en/classified/10664580,200,419000.0,HOUSE,HOUSE,Belgium,Flanders,West Flanders,Brugge,Brugge,8000,Blankenbergse Steenweg,84,,,3.0,186.0,,3.0,,,HYPER_EQUIPPED,True,70.0,True,70.0,11.0,False,,,1.0,0.0,2.0,,,,122.0,B,True,
10664574,https://www.immoweb.be/en/classified/10664574,200,429000.0,HOUSE,HOUSE,Belgium,Wallonie,Hainaut,Mouscron,Mouscron,7700,,,,,3.0,145.0,1960.0,4.0,,,INSTALLED,True,500.0,,,650.0,True,,,1.0,0.0,2.0,1.0,,,467.0,F,True,
